Location,City Time,Temp,Temp Type,Condition,Recorded On
California,Sabtu 04.00,7,°C,Sebagian berawan,"19:41:25, Dec 10 2022"

London,Sabtu 12.00,3,°C,Cerah,"19:47:08, Dec 10 2022"
New York,Sabtu 07.00,1,°C,Cerah,"19:47:33, Dec 10 2022"
Arizona,Sabtu 05.00,5,°C,Cerah,"19:47:45, Dec 10 2022"
Washington,Sabtu 07.00,1,°C,Sebagian berawan,"19:49:07, Dec 10 2022"
Manchester,Sabtu 12.00,1,°C,Berawan,"19:49:42, Dec 10 2022"
Jakarta,Sabtu 19.00,28,°C,Sebagian besar berawan,"19:50:04, Dec 10 2022"
Singapore,Sabtu 20.00,28,°C,Sebagian besar berawan,"19:50:41, Dec 10 2022"
Chicago,Sabtu 06.00,3,°C,Berawan,"19:52:00, Dec 10 2022"
Texas,Sabtu 06.00,19,°C,Kabut,"19:52:32, Dec 10 2022"
Los Angeles,Sabtu 05.00,7,°C,Sebagian berawan,"20:02:25, Dec 10 2022"
Bangkok,Sabtu 20.00,30,°C,Sebagian berawan,"20:10:18, Dec 10 2022"
